div,"The Alfonso T. Yuchengco College of Business(ATYCB) was established to cater to Mindanao's need for a more technology-oriented business school. Named after the late Amb. Alfonso T. Yuchengco, the ATYCB seeks to live up to the vision and drive of the person who made the Yuchengco Group of Companies what it is today: a megalith in the business world. This is one of the most recognized college programs offered by one of the top colleges in the Philippines."
div,The College of Arts and Science (CAS) provides diverse learning experiences to help MapúaMCM undergraduate students meet the outcomes in exploring various disciplines across the liberal arts. The foundational college programs offered by the College aim to prepare them for professional courses and allow them to emerge as mature 21st-century learners. MapúaMCM is recognized among the top college schools in Davao City.
div,"The College of Computer and Information Science (CCIS) designed its curricula to produce IT professionals who embody creative, technical, and analytical faculties and shall utilize them for nation-building. CCIS provides holistic, hands-on training through a balance of arts, science, and technology, all essential components of leading college programs. It is a proud part of the top colleges in the Philippines, focusing on information technology."
div,"The College of Engineering and Architecture (CEA) transforms its graduates into globally competitive, innovative leaders, socially responsible, and result-oriented engineers and architects. MapúaMCM-CEA commits to educating students imbued with good moral and ethical values while engaging in economically viable research and innovation that is relevant locally and beyond. This commitment is evident in the college programs offered by this prestigious institution, which stands out among the top colleges in the Philippines."
div,"The College of Health Sciences (CHS) establishes mastery in health, medicine, and relevant technology through high-quality science programs that prepare students for further studies and professional practice in medicine and other fields. These college programs focus on creating future medical professionals with solid ethics and values. As one of the top college schools in Davao City, MapúaMCM's CHS is a leader in health education."
Tag,Content
h1, Scholarships
p, Mapúa Malayan Colleges Mindanao, a school of global standards and local significance, is a top choice for many students. The Center for Scholarships and Financial Assistance (CSFA) plays a crucial role in this, providing students with a variety of scholarships in Davao, academic grants, financial aid, and other services to deserving students in need.
p, These services provide families with options to bridge education-related expenses. Mapúa Malayan Colleges Mindanao provides diverse and continually improving financial aid for college students through various scholarships in Davao and financial assistance programs. We also coordinate with government agencies, private institutions, and individuals to complement our programs and reach out to more families.
h2, Goal and Purpose:
li, Our primary goal is to provide students who are financially distressed with the opportunity to continue their studies. We achieve this through a range of scholarships in Davao and financial aid for college students, ensuring that no deserving student is left behind.
li, Stipulate the requirements, qualifications, benefits, and any important details about the different educational grants scholarships and financial aid for college students provided by MMCM.
h2, Note:
li, No student shall simultaneously acquire two or more MMCM-sponsored scholarships in Davao or financial aid for college students unless stated otherwise.
li, At MMCM, we ensure a fair and transparent process for awarding scholarships. Students are eligible for multiple MMCM-sponsored scholarships in Davao or educational grant scholarships will be awarded the one of the highest value unless otherwise stated. In the case of scholarships with similar benefits, the student can choose which one to apply for.
a,"Text: E.T. YUCHENGCO INSTITUTIONAL SCHOLARSHIP
p,Benefits:
ul,"Free full tuition, L/F/D, and miscellaneous fees. Learning materials worth P2,000 per term"
p,Retention Policy:
ul,12 academic units of course load for trimester; or18 academic units of course load for the semester; or15 academic units of course load for night curriculum / and obtain a credit term average of 2.00 or better at the end of the term or semester.
p,Qualifications:
ul,"Recent ITR of both parents, with a combined annual income of P300,000 or lessGWA of 90% above"
p,Process:
p,Step 1: Accomplish theonline application form
a,"Text: online application form, Link: https://mcm.edu.ph/apply-now/"
p,Step 2: Email a copy of your proof of enrollment toadmissions@mcm.edu.ph
a,"Text: admissions@mcm.edu.ph, Link: mailto:admissions@mcm.edu.ph"
p,Step 3: Email the following requirements toscholarship@mcm.edu.ph
a,"Text: scholarship@mcm.edu.ph, Link: mailto:scholarship@mcm.edu.ph"
ul,Letter of AcceptanceScholarship Application FormReport CardRecent ITR of both parents(Note: Please bring the original copy of your documents for cross-checking.)
p,Step 4: Submit original copy of documents to
p,"Center For Scholarship and Financial AssistanceMapúa Malayan Colleges MindanaoGen. Douglas Mac Arthur Highway, Matina, Davao City"
a,"Text: ACADEMIC EXCELLENCE AWARD SCHOLARSHIP,   
ul,With Highest Honor:100% on tuition and L/F/D fee discount for one academic year. General Average: 98-100With High Honors: 50% on tuition and L/F/D fee discount for one academic year. General Average: 95-97With Honor:25% on tuition and L/F/D fee discount for one academic year. General Average: 90-94
p,Retention Policy:The student must not have failing grades and must obtain a credit term average of 2.00 or better at the end of each term for one academic year.
p,"Qualification:The scholarship grants are given to applicants who are granted with Highest Honors, High Honors, and Honors (GWA 90% or better) in a school class of at least 20 Grade 12 graduates."
ul,"Letter of AcceptanceScholarship Application FormOriginal certification from previous school indicating the GWA and official rank, with school seal"
a,"Text: ACADEMIC HONOREE SCHOLARSHIP (FOR GRADE 7 AND GRADE 11 NEW STUDENTS),   
ul,With Highest Honor– 100% on tuition and L/F/D fee discount for one academic year; General Average: 98-100With High Honors– 50% on tuition and L/F/D fee discount for one academic year; General Average: 95-97With Honor– 25% on tuition and L/F/D fee discount for one academic year; General Average: 90-94
p,Retention Policy:The student must have no failing grades and obtain a credit term average of 85% or better at the end of the semester.
p,"Qualification:The scholarship grants are given to applicants who are granted with Highest Honors, High Honors, and Honors (GWA 90% or better) in a school class of at least 20 Grade 10 and Grade 6 completers."
ul,"Letter of AcceptanceScholarship Application FormFor JHS – Original certificate of honors indicating the General Average and official rank, with school seal (Note: The scholarship grants are given only to the first 5 honor students to enroll of any ranking in a school class of at least 20 Grade 6 graduates)For SHS – Original certificate of honors indicating the General Average and official rank, with school seal"
a,"Text: YGC & AYALA PROMOTIONAL DISCOUNT,  
p,Benefits:25% discount on tuition and L/F/D fees.
ul,Letter of AcceptanceScholarship Application FormCertificate of Employment of parentYGC/Ayala waiver form duly accomplished and signed by the affiliate’s HRD ManagerPSA Marriage Certificate (photocopy)PSA Birth Certificate of student (photocopy)
a,"Text: MAPÚA MCM CUP, 
p,Qualification:Top 3 winners of MMCM Cup Events (applicable for one academic year only)
ul,MMCM Letter of AcceptanceOriginal MMCM Cup Certificated awarded by MMCM
a,"Text: PRESIDENT'S LIST,  
p,Qualification:A student must satisfy the following requirements to be included in the President’s List in a particular term and belongs to the top spot/spots for each program:
p,Note: The Deans must endorse the list of programs with less than the required number of units load per term or semester to the CSFA for them to be considered.
a,"Text: ACADEMIC ACHIEVER INCENTIVES,  
ul,Rank 1 to 10 Students (AA FULL):Students are entitled to receive a 100% discount on tuition and L/F/D fees for two (2) consecutive semesters.Rank 11 to 20 Students (AA HALF):Students are entitled to receive a 50% discount on tuition and L/F/D discount fees for two (2) consecutive semesters.
p,Qualification:List of student ranking with Top 20 identified student qualifiers from Registrar’s Office and Senior High School Department
a,"Text: SIBLING DISCOUNT,  
ul,Younger of two – 10% discount on tuition feeYoungest of three – 25% discount on tuition feeYoungest of four – 40% discount on tuition fee
p,Step 1: Accomplishonline application form
ul,Scholarship Application FormPhotocopy PSA Birth Certificate of student and sibling/s currently enrolled in MMCM
a,"Text: JOSE RIZAL SCHOLARSHIP,   
p,50% Discount ontuition fees onlyfor allterms from time of application until the student graduates (max of 18 units per term).
ul,Accomplished MMCM Scholarship Application Form
ul,Accomplished Jose Rizal Scholarship Application Form
ul,Photocopy of ITR/BIR Certification of both parents
p,"(NOTE: Combined Gross Annual Income of parents must not exceed PHP 500,000.00. If no ITR is available, kindly submit Certification of Non Filing from BIR. For parents or guardians who are OFWs, a copy of the latest CONTRACT with compensation must be provided.)"
ul,Photocopy of school ID
ul,Recent 1.5 x 1.5 picture
a,"Text: BUKAS.PH INSTALLMENT PLAN - COLLEGE
p,"Description:Bukas was founded in February 2019 with the vision of building a better tomorrow for Filipino youths, starting with affordable tuition installment plans. The installment plan allows for full tuition through flexible payment plans in 12 monthly installments with affordable interest rates."
p,How to Create an Account:
a,"Text: https://app.bukas.ph/register, Link: https://app.bukas.ph/register"
p,How to Apply for the Installment Plan:
a,"Text: https://bukas.ph/partners/mmcm/, Link: https://bukas.ph/partners/mmcm/"
p,Minimum Requirements to Avail of the Installment Plan:
a,"Text: BPI FOUNDATION'S PAGPUGAY SCHOLARSHIP FUND — COLLEGE
p,Sponsor:BPI Foundation
p,"Description:The BPI Foundation (BPIF) recognizes the great contribution of the medical front-liners in the fight against COVID-19. To honor their heroic efforts, BPIF offers Pagpugay, a scholarship fund program to support the next of kin of the medical front-liners who passed away in the line of duty against COVID-19. Scholarship grants are subject to the availability of slots."
p,Scholarship Eligibility:
p,"If the deceased is married, the priority beneficiary is the children. If single, the beneficiary can be next of kin up to the 2nd degree of consanguinity."
p,Application Requirements:
a,"Text: here, Link: https://mcm.edu.ph/wp-content/uploads/2021/06/BPI-Foundations-Pagpugay-Scholarship-Application-Form-compressed.pdf"

