Tag,Content
p,Course unit(s): 3.0 units
p,Credit hour(s): 4.5 hours (lec)
p,Prerequisite(s): ENG040
p,Co-requisite(s): None
a,"Text: COMM134. PROFESSIONAL WRITING, Link: No link found"
p,"This course introduces students to the various styles and techniques in professional writing. Ample time will be provided so students examine the work of various writers, develop their own styles, and critique the work of their peers."
p,Course unit(s): 3.0 units
p,Credit hour(s): 4.5 hours (lec)
p,Prerequisite(s): ENG022
p,Co-requisite(s): None
